Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient

1,3,30.0,-10.25

2,2,20.0,-3.0

3,3,30.0,-0.5

4,3,30.0,-8.5

5,1,10.0,0

6,5,50.0,-3.1500000000000004

7,4,40.0,-5.5

8,2,20.0,-99.0

9,1,10.0,0

10,1,10.0,0

11,4,40.0,0.5

12,1,10.0,0

13,4,40.0,0.0

14,4,40.0,-1.6

15,0,0.0,0

16,0,0.0,0

17,3,30.0,-9.5

18,1,10.0,0

19,1,10.0,0

20,3,30.0,-0.25

21,2,20.0,-7.0

22,1,10.0,0

23,1,10.0,0

24,2,20.0,-33.0

25,3,30.0,-10.25

26,3,30.0,-1.25

27,0,0.0,0

28,3,30.0,-0.5

29,3,30.0,-5.75

30,2,20.0,-40.0

31,2,20.0,0.0

32,2,20.0,-19.0

33,3,30.0,-6.25

34,2,20.0,-40.0

35,1,10.0,0

36,2,20.0,-19.0

37,3,30.0,-1.25

38,2,20.0,-64.0

39,2,20.0,-16.0

40,2,20.0,-49.0

41,3,30.0,-7.5

42,0,0.0,0

43,4,40.0,-6.4

44,1,10.0,0

45,2,20.0,-3.0

46,2,20.0,-9.0

47,0,0.0,0

48,2,20.0,-31.0

49,0,0.0,0

50,2,20.0,-80.0

51,4,40.0,-1.4

52,3,30.0,-5.5

53,3,30.0,0.25

54,0,0.0,0

55,1,10.0,0

56,2,20.0,-4.0

57,2,20.0,-39.0

58,0,0.0,0

59,1,10.0,0

60,1,10.0,0

61,2,20.0,-112.0

62,3,30.0,-8.5

63,2,20.0,1.0

64,3,30.0,-19.75

65,1,10.0,0

66,4,40.0,-2.0

67,2,20.0,-51.0

68,3,30.0,0.25

69,1,10.0,0

70,2,20.0,-60.0

71,2,20.0,-16.0

72,2,20.0,-4.0

73,2,20.0,-4.0

74,0,0.0,0

75,3,30.0,-11.25

76,2,20.0,-15.0

77,3,30.0,-0.5

78,0,0.0,0

79,0,0.0,0

80,2,20.0,-81.0

81,4,40.0,0.6

82,2,20.0,-16.0

83,3,30.0,-2.5

84,2,20.0,-8.0

85,2,20.0,-3.0

86,2,20.0,-33.0

87,3,30.0,0.25

88,0,0.0,0

89,4,40.0,0.7

90,2,20.0,-4.0

91,2,20.0,-3.0

92,0,0.0,0

93,3,30.0,-0.5

94,2,20.0,0.0

95,0,0.0,0

96,2,20.0,-8.0

97,3,30.0,-6.25

98,2,20.0,-8.0

99,0,0.0,1

100,4,40.0,0.0

Averages,2.01,20.1,-1112.9999999999998

